2025-01-14 00:09:13 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:09:19 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:09:25 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:09:31 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:09:37 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:09:43 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:09:49 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:09:55 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:01 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:07 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:13 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:19 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:25 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:31 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:37 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:43 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:49 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:10:56 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:02 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:08 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:14 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:20 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:26 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:32 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:38 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:44 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:50 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:11:56 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:02 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:08 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:14 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:20 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:26 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:32 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:38 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:44 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:50 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:12:56 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:02 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:08 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:14 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:20 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:26 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:32 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:38 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:44 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:50 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
2025-01-14 00:13:56 Behaviour internal: auto [inhibit-charge], Battery internal: 76%, int_charger: Unknown, Behaviour external: NA, Battery external: NA%, ext_charger: NA
